userName,score,at,content
Pengguna Google,4,2024-07-22 00:41:07,"Suka sama fitur kantong nya, tapi kenapa ya kalau ada kredit atau debit harus di refresh dulu baru kelihatan"
Pengguna Google,5,2024-07-22 00:16:02,Ok goods
Pengguna Google,5,2024-07-22 00:00:19,ok
Pengguna Google,5,2024-07-21 23:36:29,bagus.
Pengguna Google,5,2024-07-21 21:15:00,Gimana caranya buat atm
Pengguna Google,5,2024-07-21 20:23:25,Saya puas
Pengguna Google,3,2024-07-21 19:47:01,"Tolong kasih opsi verifikasi login via SMS, jangan WhatsApp only itu nyusahin pengguna buat login, bagaimana kalo nomor nya di blokir oleh WhatsApp karena akhir-akhir ini WhatsApp sering blokir pengguna tanpa sebab terutama di tipe-tipe hp android lama dan lalu nomor tersebut cuma bisa digunakan untuk Telepon, SMS, Internet? :("
Pengguna Google,5,2024-07-21 16:45:32,Terbaik wes pokoknya
Pengguna Google,5,2024-07-21 16:08:33,dpt cashback 🥰
Pengguna Google,5,2024-07-21 15:09:31,Sangat baik sekali.... Dan sangat membantu...
Pengguna Google,1,2024-07-21 14:51:44,saya mau daftar ke bank jago kok ngk bisa ya
Pengguna Google,5,2024-07-21 14:36:16,Makasi atas aplikasi nya
Pengguna Google,1,2024-07-21 14:31:42,Lebih enak pakai seabank. Setiap transaksi keluar selalu ada notifikasi di email. Tapi di bank jago tidak ada cuman notifikasi sampah.. yang selalu muncul
Pengguna Google,5,2024-07-21 14:11:52,bagus
Pengguna Google,1,2024-07-21 13:48:26,Kenapa sampai saat ini masalah transaksi syaa belum di proses jga dari tgl 11-07-2024 seribet itu kah permaslaahnya sampai skrng belum bisa terselesaikan. Mohon agar segera diselesaikan. Terimakasih
Pengguna Google,5,2024-07-21 13:33:41,Haloo. Terimakasii sudah membuat apk jago syariah benar benar membantu saya banget untuk manage keuangan. Jaya selalu jagooo
Pengguna Google,5,2024-07-21 13:29:53,Mantap Transaksi Muda Gak Bikin Ribet
Pengguna Google,5,2024-07-21 13:14:22,Mantap
Pengguna Google,5,2024-07-21 12:13:55,good
Pengguna Google,1,2024-07-21 11:12:39,Jago syariah nggak bisa bikin rdn stockbit.
Pengguna Google,1,2024-07-21 08:55:35,"Kepada Cs, saya menerima email dari bank jago terkait pemeliharaan bank. Namun sebelumnya saya tidak pernah menggunakan apk bank jago, ditakutkan ada yang menggunakan identitas saya tolong blok saja akunya karena itu bukan saya. Ada pun transaksi itu bukan dilakukan oleh saya, karena saya belum pernah menginstal bank jago. Terima kasih🙏"
Pengguna Google,4,2024-07-21 08:50:30,Apakah ini bisa kredit barang syariah
Pengguna Google,5,2024-07-21 07:26:17,Kereennn
Pengguna Google,5,2024-07-21 07:05:56,Mantabs..banyak hadiahnya
Pengguna Google,4,2024-07-21 07:05:07,Teruntuk developer Bank Jago untuk membuat fitur pelayanan pembukan Rekening jenis RDN.
Pengguna Google,5,2024-07-21 06:30:48,mudah bgt pake aplikasi nyaa
Pengguna Google,5,2024-07-21 06:22:21,"trx cepat dan aman, mantap betul"
Pengguna Google,5,2024-07-21 05:54:14,simple sederhana
Pengguna Google,5,2024-07-21 05:49:58,saya merasa puah
Pengguna Google,5,2024-07-21 05:49:48,Mantap dan terus kembangkan ya
Pengguna Google,5,2024-07-21 05:48:20,Mantapp stiap transaksi misi dapet rewad
Pengguna Google,5,2024-07-21 05:46:20,Rekomendasi ni app nya
Pengguna Google,2,2024-07-21 05:26:12,penarikan SHOPEE ke bank Jago Lamaa !! ngk instan Harus nunggu beberapa hari . di hari weakend penarikan gk instan mohon di perbaikiiii!!!
Pengguna Google,5,2024-07-21 05:20:49,Bagus banget dan sangat terbantu
Pengguna Google,5,2024-07-21 05:12:11,Aplikasi yang sangat berguna untuk mengatur keuangan bisa beli saham juga
Pengguna Google,5,2024-07-21 04:05:50,Kerenn
Pengguna Google,5,2024-07-21 03:44:15,top
Pengguna Google,5,2024-07-21 03:39:42,Ayolah boss kasi bunga tabungan cair setiap hari seperti seabank
Pengguna Google,5,2024-07-21 03:29:41,Bank anti Riba
Pengguna Google,5,2024-07-21 03:04:22,Mantap lah pokok ya bank jago ini
Pengguna Google,5,2024-07-21 03:00:43,Mudah
Pengguna Google,5,2024-07-21 02:46:22,Yuu
Pengguna Google,5,2024-07-20 23:27:55,"السلام عليكم... Apakah saat ini sedang gangguan, sy tidak bisa buka jago?"
Pengguna Google,5,2024-07-20 22:56:05,sukses
Pengguna Google,1,2024-07-20 22:43:55,Bikin kecewa tentang pelayanan pembayaran.responnya juga lambat sekali di respon gak dapat jawaban yang pasti. Sumpah bikin kecewa. Apk ini harusnya bisa mengatasi masalah kecil seperti yang saya alami. Tetapi tidak demikian. MAKASI!
Pengguna Google,1,2024-07-20 22:20:57,"Nyesel gabungin gopay ke kantong jago, disaat butuh mlh eror GK bisa TF maupun di tf,anying"
Pengguna Google,5,2024-07-20 21:56:09,baguss
Pengguna Google,1,2024-07-20 17:52:47,Yang tidak mahir akses Internet sebaiknya jangan pakai bank digital. Karena anda akan dibuat pusing.
Pengguna Google,1,2024-07-20 17:49:37,"Saya pengguna jago syariah akan tetapi saya tidak puas, karena tidak ada fitur untuk rekening jago syariah."
Pengguna Google,5,2024-07-20 17:09:46,Ok
Pengguna Google,5,2024-07-20 17:05:58,ok
Pengguna Google,1,2024-07-20 15:57:44,Udah lama tidak login/masuk aplikasi malah GK bisa Mana ribet betul mau login/masuk terlalu ribet makin ke sana makin ribet
Pengguna Google,5,2024-07-20 15:19:38,Mntap
Pengguna Google,3,2024-07-20 14:45:32,Alfa Centauri
Pengguna Google,5,2024-07-20 14:33:20,Bank jago memang mantap...ada versi syariah nya. Semoga kedepannya ada RDN jago syariah agar kita pengguna jago syariah bisa mendaftar bibit plus / stockbit.
Pengguna Google,5,2024-07-20 14:19:08,Terus tingkatkan kualitasnya mantap👍👍👍
Pengguna Google,4,2024-07-20 13:36:16,"Aplikasi sudah bagus , tapi saran untuk admin developer terkait UI aplikasi atau tampilan Aplikasi tolong lebih dipersimple dan diminimaliskan lagi supaya pengguna lebih nyaman dalam bertransaksi . Dan satu lagi terkait Qris tolong dukung QR Kode supaya lebih mudah bertransaksi Qris nya."
Pengguna Google,3,2024-07-20 12:40:23,Bank jago coba bikin pinjaman limit paylater nya.makin bagus deh bank jago.pasti semakin banyak nasabah nya.dan banyak pemakai bank jago nya.tks
Pengguna Google,1,2024-07-20 11:30:46,"Bank jelek banget, tidak bisa menerima uang dari luar negeri padahal dari sana status nya sukses tapi tidak masuk ke rekening PARAH KECEWA BANGET uang nya dimakana apa doyan amat duit orang"
Pengguna Google,5,2024-07-20 11:15:07,Mantap
Pengguna Google,1,2024-07-20 10:13:25,Pelayanan kurang
Pengguna Google,5,2024-07-20 09:53:02,Apk nya sangat bagus dan bermanfaat
Pengguna Google,5,2024-07-20 09:25:48,Mantap
Pengguna Google,5,2024-07-20 08:39:54,Udah dua bln ini di kasih bonus saldo sekali dalam sebulan makasih apk jago🥰
Pengguna Google,1,2024-07-20 08:23:22,aplikasi tidak bisa di gunakan email maupun pasword sudah sesuai dan benar yang di daftarkan aplikasi tetap masih tidak bisa untuk di gunakan ( EROR )
Pengguna Google,5,2024-07-20 08:15:35,Aplikasi nya mudah digunakan dan gk ribet
Pengguna Google,5,2024-07-20 07:37:11,sangat mudah di gunakan dan praktis
Pengguna Google,5,2024-07-20 07:36:05,Ok
Pengguna Google,5,2024-07-20 07:35:00,Aplikasi ini sangat bagus untuk di pakai Dan untuk menabung yang dan untuk menabung di masa tua
Pengguna Google,1,2024-07-20 04:01:12,Mengecewakan...pindah device verifikasi gagal dan dipersulit oleh CS
Pengguna Google,5,2024-07-20 03:51:24,Aplikasi perbankan yang bagus bebas admin dan mudah digunakan
Pengguna Google,5,2024-07-20 03:17:01,keren
Pengguna Google,5,2024-07-20 03:12:59,Nice
Pengguna Google,2,2024-07-20 03:00:58,Tidak bisa mendaftar atau login eror terus
Pengguna Google,5,2024-07-20 02:55:32,Good apk
Pengguna Google,5,2024-07-20 02:49:15,Mantap
Pengguna Google,3,2024-07-20 02:05:53,"Aplnya lemot pas awal login, masuk paswod dilay sampai salah paswod nunggu 1 jam akun dikunci. Padahal apl lain lancar"
Pengguna Google,5,2024-07-20 01:45:41,mantap
Pengguna Google,5,2024-07-20 00:37:51,Bank jago banyak promo + Cashback yang banyak🤩😜😍
Pengguna Google,5,2024-07-19 23:58:41,Bagus dan mudah buat transaksi mantap
Pengguna Google,5,2024-07-19 22:18:28,Bermanfaat
Pengguna Google,1,2024-07-19 18:42:43,aplikasi parah ribet bgt. ganti no hp pake surat pernyataan & matrai.. gila gila masf sy hpus aplikasi Nya ga kepake trllu ribet. harusnya pke ktp jg sdh cukup!
Pengguna Google,5,2024-07-19 17:43:00,mantap
Pengguna Google,2,2024-07-19 17:20:48,Aplikasinya bagus cuman sayangnya ga ada yang biasa buat hapus permanen akun...BAnk lainya aja bsa hapus...jadi bila kita ada kenapa nap dngan hp/drikita sendirikn ga ta....tambin hapus akun y ka supaya kita ga ribet nyari kntor fisiknya..
Pengguna Google,5,2024-07-19 16:51:41,sangat Bermanfaat
Pengguna Google,5,2024-07-19 16:08:45,Pelayanan ok pake banget
Pengguna Google,5,2024-07-19 13:56:45,"Cb top up ewallet 100rb sdh msk, trima kasih Jago"
Pengguna Google,5,2024-07-19 13:41:09,Aplikasi mudah digunakan.
Pengguna Google,5,2024-07-19 12:50:46,guug save
Pengguna Google,2,2024-07-19 10:25:38,Ga bisa pindah ke konvensional. Menyusahkan
Pengguna Google,5,2024-07-19 08:51:17,"Mantap aplikasi Jago, sgt menyesal krn saya terlambat mengenalnya.. semoga kedepan semakin banyak hadiah2nya.. maju terus jago"
Pengguna Google,4,2024-07-19 08:24:11,"Semuanya sih udah oke. Cuma, di website katanya bisa disambungin ke paypal, nyatanya pas dicoba gak bisa buat narik uang dari Paypal. udah dicoba sambungin ke bank dan kartu debit, tapi sama sama gak bisa. Emang sih bisa terhubung, tapi gak bisa buat tarik saldo Paypal, lalu buat apa. Kalau emang gak bisa , hapus aja artikel yang ada di website, Ngerugiin orang."
Pengguna Google,5,2024-07-19 08:08:23,Aplikasi ribet 1. Jika nomor hp hilang/ lupa email tidak ada penyelesaian 2. Bikin akun baru dijamin tidak bisa . 3. Tlpon cs malah saling lempar tanggung jawab 4. Dari pada ribet mendingan dipites apknya . Dadah
Pengguna Google,1,2024-07-19 07:57:05,APLIKASI RUMIT!!! MAU LOGIN AJA SUSAH
Pengguna Google,5,2024-07-19 07:08:58,Bagus
Pengguna Google,5,2024-07-19 06:34:22,Cukup kata 👍👍👍👍👍
Pengguna Google,5,2024-07-19 05:57:41,Mudah dipakai orang awam seperti saya
Pengguna Google,5,2024-07-19 05:27:40,bahasa aplikasinya kok bahasa Inggris yaaa
Pengguna Google,1,2024-07-19 05:21:11,"Bank jago penipuan , saya transaksi pakai Qris gagal , saldo gak kembali👎👎👎👎👎👎👎"
Pengguna Google,5,2024-07-19 04:50:11,Bagus.. 👍👍
Pengguna Google,1,2024-07-19 00:47:10,"Huu payah transfer 2x yg masuk cuman sekali, kalo lagi erorr minimal batalin aja min daripada saldo kepotong tapi transfer tidak masuk"""
