userName,score,at,content
Egi Alfa,5,2024-04-24 03:37:16,mantap cepat tepat
Syailing Yumna,5,2024-04-24 03:35:59,Bagus banget
Marcelina Saung,5,2024-04-24 03:35:43,Kenapa dana TDK bisa loding
Rendi Nata,5,2024-04-24 03:32:40,Bagus sekali
Reski Riandi,5,2024-04-24 03:30:53,Terbaik
Pijal Ludin,5,2024-04-24 03:29:55,good
Risma Keisya,1,2024-04-24 03:28:20,"dari kemaren dana gk normal gk bisa terbuka apalgi transaksi,,"
Marjinal Fiji86,3,2024-04-24 03:27:18,very very satisfying cuma saya kendala nya saya mau ganti nomor rekening ngak di ACC sudah konsultasi sama cs ngak bisa di telpon cuma bisanya DM jawaban nya cuma itu itu saja dari cs tolong min di perbaharui sistem nya biar bisa langsung ngobrol sama cs kita nyampaikan keluhan itu biar di mengerti kendala saya cuma satu nomer rekening dana yang ini saya mau ganti yang masih aktif di karena kan nomer dana yang ini sudah ter blokir alias hangus sudah tidak bisa di perbaharui lagi. 🙏🙏🙏🙏🙏🙏🙏
Fatah Wimbo,1,2024-04-24 03:25:56,"Saya sudah mengupgrade ke premium tapi tetep ndak bisa, padahal udh foto e ktp, udh memperbarui e ktp jugaa, mau tf ke ndak bisaa padahal udh top up lumayan banyakk, minta tolong di benahi lagi apk nyaaa🙏, sangat sangat mengecewakan"
Rio Widodo,4,2024-04-24 03:25:41,sangat membantu
Jasmi Anggara,5,2024-04-24 03:25:24,mantap
Ela Riskiana,1,2024-04-24 03:25:09,"Transaksi berhasil,tapi status masih order proses Udh 3 hari tidak ada info. Susah, padahal itu transaksi tagihan. Padahal kalau tidak bisa tinggal gagal aja, kembalikan kembali uang nya"
Rizal Karim,5,2024-04-24 03:22:43,good
Rhimanjow Rhiman,4,2024-04-24 03:21:35,sangat baik
Roney Kim Yoo Shin,5,2024-04-24 03:21:21,"Untuk keamanan,saran saya masuk ke aplikasi pakai finger print."
