userName,score,at,content
Vitaly,5,2024-05-31 22:09:23,Cool app 😎 👍
Moises Meza Pariona,5,2024-05-31 18:55:03,Very god. I'm like very much
Eddy Castillo,5,2024-05-31 17:45:28,"Excellent, accurate."
Shrouk Sobhy,1,2024-05-31 17:13:12,This is completely annoying. Doesn't deserve not even a star
Eugeniu Babin,5,2024-05-31 13:10:59,perfekt !
John Collin,1,2024-05-31 05:41:23,"Ensikokemus suomesta englanniksi valokuvasta kääntäen on tosi kehno. Ohjelma tuottaa täysin puuta-heinää laittaen sinänsä oikei käännettyjä pätkiä aivan väärään järjestykseen. Toisena puutteena tässä on se, että antaa sanalle vain yhden vaihtoehdon. Pitäisi antaa usea vaihtoehto ja kuvailu, missä kontekstissa kukin vaihtoehto toimii, kuten vanhoissa hyvissä paperikirjoissa."
中村奈々,5,2024-05-31 04:18:41,Amazing than Google Translate
Luke Bingham,5,2024-05-31 03:35:06,Great
Somto Nduka,5,2024-05-31 01:15:47,very nice
zach fitzgerald,4,2024-05-30 20:43:11,"only gets a 4 star cause there's no offline option. otherwise, this is the best translation app I've used."
Enid,5,2024-05-30 20:15:14,Definitely my fav translator ♥️
Gilbert Tanlaka,5,2024-05-30 08:23:15,Great experience
Muhammad Rodan,3,2024-05-30 06:08:50,The splashscreen is wasting time..
Evellin Zefanya Natalina,1,2024-05-30 05:03:41,Dikit2 ke logout. Apalah cb
Valter,5,2024-05-30 02:35:53,Melhor app de tradução! 10000x que o 💩 do Google Tradutor.
Papo Rules,5,2024-05-29 20:13:14,Good quality translations
Lizette GO,5,2024-05-29 17:39:54,Excellent
Feryel Mansouri,5,2024-05-29 16:32:36,😍😍😍😍❤❤❤❤
Denise Di Battista,5,2024-05-29 15:36:49,excellent
felix kujere awupuli,5,2024-05-29 12:29:36,Great app. I love it.
Kosta Naumoski,5,2024-05-29 10:09:03,Amazing!
Juan Boy,1,2024-05-29 06:46:10,"At least with English <-> Spanish written translations much of what is translated is completely wrong, sometimes even the opposite meaning and words missed out completely, with no way of correcting it or giving feedback within the app. Careful. Do not rely on it."
Lukmana Rusli,5,2024-05-29 01:59:34,good translater
Francisco Martinez,3,2024-05-29 00:12:26,"The translation is better than Google Translator, but not as good as Bing AI."
Alireza Salehi,1,2024-05-28 22:53:30,add Persian
Bhuvana Sathya,4,2024-05-28 16:00:57,very useful
Yaseemanac,5,2024-05-28 14:35:25,The greatest.
Gabriel Bon,4,2024-05-28 09:06:01,Can you add Tagalog in the app? That would be great. Also the translations are good
Zeyn,5,2024-05-28 07:46:25,I LOVE THIS APP SOOO MUCHHH
Mostapha Kanaan,5,2024-05-28 06:02:24,"They said that this update of DeepL make the application is best beween all translators but in my Opinion , Google Translate is my best translator in my opinion ."
Jay Tseng,5,2024-05-28 02:55:47,Essential
Larry Portnoff,4,2024-05-28 00:13:42,"I'm a little disappointed about this app because after so many translations, I was inhibited from using the app then was I was told to download their premium app...which I was unable to do....too bad...I would have given it a 5⭐.."
Anita Keyes-Lee,3,2024-05-28 00:09:00,This app does not offer Chinese (traditional).
Kan Des,4,2024-05-27 21:43:16,"I've been using Deepl for more than 10 years now, and I feel satisfied with the translation services provided to me."
Sharon Huber,2,2024-05-27 21:34:25,I cannot create an account to log in.
James Kottak,5,2024-05-27 14:30:15,Till now I have a great experience with DeepL. I used it daily in my office and it helps me alot especially DeepL Write.. Please add DeepL Write function for android app too. Thanks for this amazing app.
Fokou Noel,4,2024-05-27 13:23:41,very nice app
Jeremy Fry,5,2024-05-27 11:04:23,exceptional
Seung Han Park,4,2024-05-27 05:41:32,I like it
Sinai Sar,2,2024-05-27 04:39:47,Have not all of language
Manak Raj,5,2024-05-26 19:19:26,It has been really helpful till now.
Reza,3,2024-05-26 18:48:10,Please add Persian to the languages
Zanjay Daley,5,2024-05-26 17:39:58,Easy to use
E Quigley,4,2024-05-26 15:05:14,"this translator app appears to be pretty good, I have reason to believe that it is accurately translating my words . I have not tried it in the field so I had to give it a lower score."
Alucard Drácula,5,2024-05-26 14:55:02,best app to translate
ali Ghomi,1,2024-05-26 14:22:51,this app not supported persian
John Hollingsworth,5,2024-05-25 17:20:48,Accurate and quick translation and not as biased towards Brazilian Portuguese as Google Translate.
Reham Sartawi,4,2024-05-25 15:55:35,"Nice but the reason I didn't give a 5 star is because it's not 100% accurate, it's accurate but not 100%. By the way, I love this app and I use it alot. Thanks."
