userName,score,at,content
Yuu,1,2024-03-24 16:55:02,"Versi lama lebih baik ... Versi sekarang banyak bug , suara ga muncul"
17. Raditya Anggaraputra,1,2024-03-24 13:45:36,Kok setiap saya voice di discord ga ada suara padahal headset saya aman aja internet juga aman tolong dong perbaiki bugnya
Ayahe Anake,5,2024-03-24 13:21:31,"aplikasi sangat bagus, lebih lengkap tapi tolong ditambah bahasa indonesia"
Wisnu S,2,2024-03-24 12:35:00,Ntah knp kalo play music suaranya jd mendem kek didalam air.. mungkin ada yg bisa ngasih solusi
athaya3711 el,4,2024-03-24 12:29:01,"Pas mau verifikasi email-nya malah selalu bilang expired, padahal udah di resend berkali kali tetep sama aja"
Nur Aeni,1,2024-03-24 11:36:50,discord gak jelas mau masuk server sendiri gak bisa gak jelas tolonglah diperbaiki error/bug nya biar pengguna baru bisa dapat kenyaman dari discordnya please discord mohon kerjasama😠
Jeremiah Revalino K. Nomor 18,1,2024-03-24 11:33:30,vertifikasi nomor telepon membuat saya bingung. Karena nomor saya sudah dipakai di akun lainya dan saya tidak bisa menggunakan discord lagi
Rizky Adryansyah,1,2024-03-24 10:27:35,"Kembalikan ke versi lama ,versi baru ini banyak kekurangan nya dan juga membuat bingung saya sudah terbiasa dengan yang lama"
LOLI Skizo,2,2024-03-24 07:09:04,"Akun discord lama saya ga bisa login lagi, padahal pw nya Ama email nya dah bener, coba ada fitur login pake nickname"
M. Fadhil Hidayat,4,2024-03-24 04:08:34,"Tambahin bahasa indo nya dong, sama bug² nya tolong diperbaiki, susah make discord nyaa"
Agam Pratama,1,2024-03-24 01:22:38,seperti saya tidak bisa masuk dan bug padahal pasword sudah bener mohon di perbaiki kayak dulu
Iman Syarifuddin,2,2024-03-22 18:22:11,"Benerin bug nya dong dev, kaga bisa kembali ke menu awal nih, stuck di chat"
Adi Wijaya,1,2024-03-22 17:19:10,"gw tau update UI baru niatnya buat improve, misal ada bug kalo minor jg wajar aja sbnrnya. Tapi ini kebangetan bug ny dh annoying bgt saking banyak nya. dari ringtone call gamau mati pdhl udh join call atau di disconnected, buat kirim file kadang ga kebuka menu nya, layar nya jadi kepotong lah kalo abis rotasi, kalo lagi strem menu option kek stream volume dan setting lainnya gabisa di tap lah, dan masih banyak bug bug lain yg annoying. yakali gitu tiap bug harus tutup semua dan buka ulang 👎🏾"
Mbio,3,2024-03-22 15:05:02,"Saya mohon kepada pihak discord untuk memperbaiki masalah connecting, internet saya sudah bagus dan harusnya lancar tapi ketika saya masuk ke telpon atau voice chatnya itu connectingnya lama bahkan ampe gak bisa masuk sama sekali dan ga ada suaranya jadi saya gabisa interaksi dengan teman saya, saya mohon banget agar masalah ini segera diatasi karna sangat meresahkan"
Dwi,1,2024-03-22 06:11:07,Aplikasi tololl minimal klo rilis di android tuh diperhatiin bug2 nya diperbaikin berat doang beli nitro mahal2 dapet aplikasi kek sampah
Atta Alfarezel gunawan,1,2024-03-21 09:17:23,Apk apansi ini ga jelas banget bngst ga bisa login pake no hp padahal no hpnya ga pernah sama sekali dinpake login discrod malah ga bisa ke kirim kode verifikasi ga jelas banget bikin apk ga niat
analim,2,2024-03-21 07:46:43,"Makin hari, maki ngebug aja Kalian ini. Harus banget pakai website biar gak ngebug nih discord. Udah gitu, stream sharing kayak dibatas pulak kualitasnya. Boro boro optimizationnya jelek"
Ai Lani Marlina,1,2024-03-21 04:55:08,"Apk yang aneh, masa saya mau login pakai akun lama tidak bisa, tolong di benarkan lagi apk ini seperti dlu."
Dafa Alfariji,1,2024-03-21 01:14:25,Tolongg ini gimana verify phone no sama kodenya udh masuk tapi tombol verify nya ga bisaa di pencett tolong di perbaiki
Winda Ktb,2,2024-03-20 09:38:49,"tidak ada bahasa indonesianya,tolong dong ditambahkan bahasa indonesia"
wizka muliajaya14,1,2024-03-19 15:51:37,"Tolong kembaliin lgi discord ku yg stabil,setelah update ini banyak bugnya ya ampun kayak sekali pencet GK bisa dipencet layar yg bug setengah ,sabar sumpah ini gw,mohon diperbaiki untuk kedepannya"
Rhaiza Putra Permana,2,2024-03-19 07:26:21,Saya memberi bintang dua karena saya ingin login dan saya tidak bisa masuk ke akun saya padahal alamat email dan password nya sudah benar untuk developer mohon segera di perbaiki 🙏
Erakbar 3082,1,2024-03-19 05:41:28,"Sering terjadi error, gua mau log in akun gua malah gak bisa, katanya ada yang mau pakai akun gua, itu gua sendiri, error, gakbisa verifikasi discord, jelek"
Ahmadu Alfarizi,1,2024-03-18 21:27:29,"akun lama ga bisa diloginin, terus waktu udah dapat sms untuk verifikasi malah ga bisa verifikasi aneh"
Elsa projen,1,2024-03-18 06:10:23,"Woila aku ga bisa kirim foto padahal sinyal aman aman aja, tolong discord perbaikiii"
Abellindo Faustin,4,2024-03-18 05:52:32,"Tolong Tambahkan Bahasa Indonesia, Karena Bahasa Indonesia Sudah Menjadi Salah Satu Bahasa Internasional dan Ratusan Juta Manusia Di Bumi dapat Berbahasa Indonesia."
Adelia Rahmadanti,1,2024-03-17 21:20:45,"Versi lama adalah versi yang terbaik, untuk saat ini banyak sekali kejelekan dan kekurangannya. Tolong banyak orang aneh mengundang saya dan beberapa orang lain untuk join server terus-menerus, sudah report tidak ada hasil, sistem block tidak ada, dan privacy settings untuk ""persetujuan undangan server"" tidak ada."
Apanterr,1,2024-03-17 10:25:35,"Password email udah saya ganti tetap aja password does not match jadi malas banget,padahal udah bikin akun banyak tapi sama aja,tolong perbaiki"
chocochips,1,2024-03-17 06:44:13,"ini nge bug atau gmn dh?, udh change akun berkali² abis itu gk terjadi apa² mna udh bkin akun baru berkali² lgi tp ttp kena trs, tolong dong hpus fitur verifynya!!!, cpek bkin akun bru trs, tp kena zonk mlu!!, gmn mau main discord tapi hrus verify email dlu, KECEWAA!"
Rusyda Rafi,3,2024-03-17 04:53:29,Pas mau login kayak sulit banget (dipersulit) Katanya email udah ada yang login
Ali Putraa,1,2024-03-16 15:29:23,"Aplikasi ampas, register gabisa, konfirmasi akun juga gabisa.."
Zhanshi,1,2024-03-16 14:44:19,"Sebelumnya sudah saya lakukan dengan mengaktifkan kembali device saya dan mengunduh kembali aplikasi discord, pada awalnya sudah pulih namun beberapa waktu kemudian hal ini terjadi lagi."
Sahabat Hitam,4,2024-03-16 10:13:31,masih ada bug kalo disconect suara kadang ga ada
Sahriyan Sanjaya,1,2024-03-16 02:48:05,Aku setiap login harus ada verifikasi email dan aku gak bisa tiap login juga akunnya ilang terus
Kagamine Rin,5,2024-03-15 22:37:20,"Ah ya, semuanya sudah selesai, terima kasih. Dan sepertinya keamanan discord tanpa 2FA harus lebih di tingkatkan. Aku sulit memahami penggunaan 2FA hehe"
Vincent Loreno,1,2024-03-15 15:05:43,Yang terhormat admin discord Update discord baru baru ini sangatlah mengecewakan di karnakan bug dimana2 Saat menlogin atau menuliskan teks Sering terjadinya lag parah dan lebih parahnya lagi aplikasinya stack di teks dan tidak bisa di gerakin dan delaynya lama sekali lebih baik yang lama dari pada sekarang malahan diupdate makin tidak bagus seharusnya sudah di pikirkan matang2 saat update jangan asal asalan saja dan tidak teliti bug apa yang terjadi di aplikasi tersebut mohon di perbaiki lagi
Lana_ World,1,2024-03-15 10:01:49,"Banyak bug, kadang FC sendiri, kadang gambar nya GK bisa di geser, kadang keyboard nya GK bisa di turunin"
Ahmad R,1,2024-03-13 22:44:45,ngemtod lah asuw kecewa sama tampilan UI discord yang sekarang tidak ada/mempersulit fitur search. kembalikan fitur yg dulu. gak usha banyak bacot
linda dwi yanti,1,2024-03-13 15:33:25,"Sering nge bug, tiba-tiba disconnect padahal sinyal bagus"
Ghani Ilmy,1,2024-03-13 04:28:50,"ini gimana ya mau masukin nomor hp tapi malah ada tulisan ""unable to send message"" tolong dong diperbaiki banyak banget masalah di aplikasinya apk anj emang ada aja masalahnya"
Ocha,1,2024-03-12 22:07:23,"Kembalikan UI yang lama sebelum update tampilan UI yg terbaru ini. Saya menemukan banyak bug pada update yg terbaru ini. Terutama saat streaming/share screen. Kedua, video saat call tampilannya tidak bisa diubah mirror dan un mirror nya. Tolong segera diperbaiki."
frando97,1,2024-03-12 16:41:37,bener yang ini kan apk discord daftar nya susah amat verifikasi dari SMS kode udah sama masih gagal aja
kangkung,1,2024-03-12 13:39:34,Di update bukannya makin bagus malah makin banyak bug nya gimana sih aplikasi ini
Ginufa,1,2024-03-12 06:36:27,"Dari dulu ini apk discord berat banget gila hp spek dewa pun sampe macet"" di update malah makin parah"
Heri Imansyah,5,2024-03-11 01:51:12,"Aplikasinya sangat bagus kita bisa voice call sma tmen"" dn ngobol serta sharring"" info dengan orang luar negeri,knp skarang discord klo ngirim stiker kdng ngk kliatan?"
Abdur Rasyid,1,2024-03-10 14:41:52,Perbaikan banyak bug terutama pas mau verif no hp ga bsa bisa
Faris,2,2024-03-10 07:32:55,Pas add friend lewat username ga bisa padahal sesuai :(
Rafa Heryanto535,1,2024-03-10 04:32:09,discord sekarang jelek banget kekurangan nya pas mau login tuh susah apa lagi pake no hp kadang code nya ga masuk/ga ke ditek jadi aduh perbaiki lagi dong kecewa berat nih
Varra Aprily,1,2024-03-09 09:40:20,"Untuk pihak discord kenapa ya discord saya saat saya verefy kok malah ngulang lagi, sekarang discord banyak bug nya!!!!!!"
Ultra_nin Wannabe,5,2024-03-09 09:28:58,"Bagus, tapi tips penting, kalian HARUS copy password kalian di notes. Karena biasanya error parah pas mau login di device kalian yang lain"
renanda yolla,1,2024-03-09 06:39:58,update yang terbaru sekrang untuk login gabisaaaa
Akari Rein,1,2024-03-08 15:13:31,Out app biasa tetep connect ini ga connect harus tetep stay di app biar bisa connect kan kocak
