userName,score,at,content
motv,1,2024-05-07 23:45:40,"Fitur PiPnya sempat error, jadi tidak bisa nonton sambil megang hp. Tapi terkadang pip ini bisa usai diupdate tapi terkadang kambuh lagi"
io Sulaiman,2,2024-05-07 21:55:44,Halo Disney kualitas udah di naikin kenapa tetep gak naik padahal udah 1080p hd itupun di smart tv padahal jaringan lancar tolong diperbaiki biar saya tetap berlangganan aduhh
Wilson bagas,2,2024-05-07 16:46:38,"Tolong harga langganan perbulan di diskon seperti yang dulu klo bisa, masuk ke dalam paket OMG! Asli sekarang harga naik, banyak film yang serial yang bagus tapi kasihan buat pengguna lainnya yang ingin hemat di tembak harga segitu."
Rendy Ryphen,1,2024-05-07 15:25:41,"Aplikasi jelek, gak bisa terima kode otp, lalu kirim email kemudian dikasih tips, tapi tipsnya gak jelas dan sepertinyanomor saya di ban, karna dari tahun kemarin juga terjadi berbulan bulan dan samapi hari ini. kualitas videonya juga buruk padahal udah di atur kualitas paling tinggi. Tolong perbaiki, dan tambahkan fitur jelajahi agar bisa melihat film atau serial yang ada sebelum berlangganan seperti HBO. Login menggunakan nomor dan kode OTP tolong dihapus seperti NETFLIX."
Nur Subrata,1,2024-05-07 14:31:20,Berlangganan bayar tapi filemnya gak bisa di tonton
Antony Tanoto,1,2024-05-07 14:14:25,KURANG AJAR perpanjang langganan 1 tahun lewat Kartu Kredit tanpa ada OTP... KURANG AJAR SEKALI!!!!!!!!
Daniel Kurniadi,1,2024-05-07 09:57:33,Rusak!!
rahul panjaitan,5,2024-05-07 09:16:08,"Bagus sekali,sangking bagus ny gk bisa amsuk"
Riyan Bepe,1,2024-05-07 07:51:09,"Tidak bisa log in, aplikasi yg sangat buruk"
Mia Kookie,3,2024-05-07 05:53:44,Min turunin dong harganya...saya mau nonton the walking dead 🙏🙏🙏
Wulandari 123,1,2024-05-07 00:35:29,bekum seminggu berlangganan gambar nya udh ilang
Fachrizal Irfansyahrial,1,2024-05-06 23:21:55,"Sudah langganan +sport, 29 april, eh gtwnya g bisa dipake tonton timnas. G ad respon dari CSnya sdh ngadu d WA. Sia2 langganan"
Alief Amalfi,5,2024-05-06 17:50:16,Keren banget ya
Vee,2,2024-05-06 14:41:05,"sinyal bagus,tapi mau login dari sms maupun telepon tidak masuk kode otp,sudah dicoba secara berkala dan berminggu"" tetap tidak bisa"
Yanto Koswara,1,2024-05-06 11:26:54,Baru lihat rating nya runtuh banget 1.7 Saya langganan bulanan 69.000 eh mau login gagal terus. Itupun gak ditulis di perjanjian awal nambah device tambah harga. Tau tau karena 3 device login harga nya naik. Mana film nya juga sekarang gak up-to-date.
Andhika Dhika,5,2024-05-06 11:15:56,"Aplikasi yg memudahkan untuk menonton filem2 favorit, mantap"
Nazhan Pratama,1,2024-05-06 11:02:45,gak bisa login
MUAMMAR KHADAFI,1,2024-05-06 05:35:51,Knpa yang black scene padahal baru 3 harian berlanggann taiilkk lah
Muhammad Alfarizi,5,2024-05-06 00:39:24,"Ini bagus aplikasinya filmnya lumayan lengkap trus ada tambahan subtitle Indonesia, amphibia udah update keren👍"
Nero Gami,1,2024-05-05 23:31:47,"Rugi berlangganan disini film"" nya jadul"" semua, kadang juga eror eror sendiri, tolong dong jangan malas"" cari karyawan yg bagus."
Salsa Bila,1,2024-05-05 16:29:25,"langganan Disney belum ada seminggu udah gabisa ditonton film nya, layarnya hitam terus eror mulu ni, agak menyesal ni berlangganan disney. Tolong dong cepat-cepat diperbaiki."
Jon,1,2024-05-05 07:29:45,"Saya baru beli langganan ( nonton di andorid) pas mau nonton kok video nya ""ngefreez tapi audio nya bunyi"". Apk Disney+ nya scam kah? Masak kayak gini kualitas nya udah bayar loh."
Aruna Reyhan Mardiyanto,5,2024-05-05 06:52:01,ArunaREY Disney+hotstar
Jka Irawan,1,2024-05-05 05:29:48,Payah
