userName,score,at,content
Pengguna Google,5,2024-06-05 21:15:52,Yeee
Pengguna Google,5,2024-06-05 14:14:39,Good
Pengguna Google,3,2024-06-05 13:35:15,terimakasih
Pengguna Google,5,2024-06-05 13:19:19,baik
Pengguna Google,4,2024-06-05 12:08:44,semoga dapet lokor ada pangilan kerja
Pengguna Google,5,2024-06-05 10:48:52,Sangat membabtu
Pengguna Google,5,2024-06-05 09:26:35,sangat bagua dan membantu dlm mencari Pekerjaan
Pengguna Google,5,2024-06-05 09:17:14,apk nya membantu banget ngapain lagi ayo cobain sendiri
Pengguna Google,3,2024-06-05 09:00:04,Baru coba coba pakai glint ini dan lom dapet kerja pula
Pengguna Google,4,2024-06-05 08:58:25,Boleh lah
Pengguna Google,5,2024-06-05 08:16:53,sangat membantu
Pengguna Google,5,2024-06-05 07:14:10,Sangat membantu sekali mudah mudahan saya di terima kerja melalui glints 😇🙏
Pengguna Google,5,2024-06-05 07:09:20,sangat berguna
Pengguna Google,5,2024-06-05 06:16:58,bgus sekali sangat membantu saya dengan adanya aplikasi ini sangat membntu banget buway saya yang susah nyri kerja
Pengguna Google,5,2024-06-05 05:42:58,"Susah mendapatkan pekerjaan. "" Skill belum sesuai"" Mulu . G punya skill. G ada modal biaya buat pelatihan biar mendapatkan skill."
Pengguna Google,5,2024-06-05 04:35:00,"bagus nih, ringan banget aplikasi nya"
Pengguna Google,5,2024-06-05 02:37:20,lumayan tapi. blum tau dapet apa ga ya di aplikasi ini
Pengguna Google,5,2024-06-05 02:05:05,Sangat baik
Pengguna Google,5,2024-06-05 01:41:48,sangat membantu
Pengguna Google,5,2024-06-05 01:15:40,"Aangat recommended dah, abiszzz"
Pengguna Google,4,2024-06-05 00:39:45,Alhamdulillah sangat membantu sekali aplikasinya
Pengguna Google,5,2024-06-05 00:08:55,orkes lah
Pengguna Google,4,2024-06-04 23:30:05,sangat membantu untuk mendapatkan pekerjaan di aplikasi glints👍🏻👍🏻
Pengguna Google,4,2024-06-04 22:00:41,lumayan
Pengguna Google,1,2024-06-04 15:07:10,belom ada bukti nyata
Pengguna Google,4,2024-06-04 13:59:26,"semoga membantu para pencari kerja,semoga Indonesia semakin maju dan sukses."
Pengguna Google,5,2024-06-04 12:16:21,opsional
Pengguna Google,5,2024-06-04 09:06:31,Baguss aplikasi nya
Pengguna Google,5,2024-06-04 08:52:16,mantab
Pengguna Google,5,2024-06-04 06:59:41,ok
Pengguna Google,4,2024-06-04 06:12:16,saya tertarik dengan pekerjaan ini
Pengguna Google,5,2024-06-04 04:16:26,semoga dgn aplikasi Glint ini bisa membantu buat teman2 yg butuh pekerjaan 🙏🙏🙏
Pengguna Google,5,2024-06-04 03:24:40,sangat membantu
Pengguna Google,5,2024-06-04 01:48:02,"baik, cukup puas"
Pengguna Google,5,2024-06-04 01:35:34,ok
Pengguna Google,5,2024-06-04 01:13:28,👍
Pengguna Google,5,2024-06-03 17:18:42,makasih
Pengguna Google,5,2024-06-03 15:54:56,aplikasi nya sangat membantu dan sangat bermanfaat terima kasih banyak yach
Pengguna Google,3,2024-06-03 11:43:52,Aplikasinya koq ga bs kebuka ya skarang? Padahal baru semalam sy buka.. Koq skarang loadingnya lama banget?Tidak ada Panggilan Interview dari Aplikasi ini.. Payah ga ngebantu..
Pengguna Google,5,2024-06-03 11:16:43,semoga bisa memberikan lowongan pekerjaan dengan cepat
Pengguna Google,5,2024-06-03 11:08:53,bagus banget
Pengguna Google,1,2024-06-03 08:04:15,Setiap lamaran kerja pasti jawabannya kadaluarsa lah skill udah jelas jelas saya lamar sesuai dengan kemampuan saya kalo memang udah tutup tidak usah buka lagi
Pengguna Google,4,2024-06-03 06:42:36,sementara ⭐ 4 dulu ya gaesss
Pengguna Google,2,2024-06-03 06:01:52,"Fresh Graduate, 1000 lamaran belum ada yang terima sedih sedih😓😢"
Pengguna Google,5,2024-06-03 04:47:36,aplikasinya sangat mudah di pahami dan fitur fitur nya sangat lengkap dan mudah di pahami pokoknya wajib download aplikasi ini ☺️🥰
Pengguna Google,5,2024-06-03 03:59:41,saya sangat senang sekali
Pengguna Google,5,2024-06-03 02:10:00,oke
Pengguna Google,4,2024-06-02 16:08:50,"Bayangan sayabini akan lebih baik jika karena kami akan diajarkan untuk bekerja tapi kami belum membuktikan . Makanya saya kasih 4 bintang Harusnya permintaan penilaian bintang setelah praktek, bukan sebelum praktek"
Pengguna Google,4,2024-06-02 08:43:23,4 dulu bila ada kemajuan dalam aplikasi tambah 1
Pengguna Google,5,2024-06-02 06:30:05,Pokoknya siiplah
Pengguna Google,4,2024-06-02 03:12:36,baru mencoba aplikasi ini semoga saja dpt pekerjaan
Pengguna Google,5,2024-06-02 01:02:12,"Aplikasi yang bagus, sangat membantu sebagai penghubung antara pencari kerja dan penyedia pekerjaan, semoga menjadikan keberkahan bagi pembuat dan pengelola aplikasi ini... Aamiin Yaa Rabbal 'Aalamiin"
Pengguna Google,4,2024-06-02 00:42:14,cobak
Pengguna Google,5,2024-06-01 22:47:31,untuk informasi tentang lowongan pekerjaan sangat membantu saya dalam mencari pekerjaan yang sesuai dengan pengalaman saya.
Pengguna Google,5,2024-06-01 16:35:44,Bagus
Pengguna Google,5,2024-06-01 15:38:35,verry good
Pengguna Google,4,2024-06-01 12:10:43,aplikasi oke
Pengguna Google,5,2024-06-01 11:05:59,"sangat membantu, thanks"
Pengguna Google,5,2024-06-01 07:24:30,terimakasih
Pengguna Google,5,2024-06-01 05:59:51,ok
Pengguna Google,3,2024-06-01 05:37:00,"Sayang sekali tidak ada keharusan bagi team HR untuk konfirmasi bagi setiap pelamar. Iya saya tau gak mungkin ratusan cv di konfirmasi satu persatu. Masukan saja untuk pengembang : agar di tambah bintangnya nanti, 1. baiknya data cv yang masuk ke perusahaan auto terhapus jika dalam waktu 7 hari kerja tidak di baca atau tidak ada konfirmasi Supaya team HR perusahaan lebih serius dalam merekrut calon melalui platform loker tidak hanya memasang dan menutup loker."
Pengguna Google,5,2024-06-01 03:50:42,Bagus recommended
Pengguna Google,3,2024-06-01 01:46:04,"insya ALLAH bagus,sangat membantu orang yang cari kerja🙏"
Pengguna Google,4,2024-05-31 19:11:49,keren
Pengguna Google,5,2024-05-31 11:28:48,oke
Pengguna Google,5,2024-05-31 09:58:12,Mantab dan sangat menbantu
Pengguna Google,5,2024-05-31 08:28:51,bagus
Pengguna Google,4,2024-05-31 07:37:09,baik
Pengguna Google,1,2024-05-31 07:06:54,Aplikasi nya sdh bahus. Dan respon HRD cepat. Tetapi. Tolong filter untuk lokasi di tingkatkan. Filter lokasi sangat buruk.
Pengguna Google,5,2024-05-31 06:15:14,"Aplikasi sangat membantu sekali untuk berkomunikasi langsung antara pencari kerja dengan pemberi lowongan kerja. Akan tetapi aplikasi ini harus di perbaiki, terutama di filter jenis pekerjaan dan lokasi kerja yang ingin di cari, sehingga muncul sesuai yang di cari, kalo yang saat ini terjadi masih random dari Sabang sampai Merauke keluar semua."
Pengguna Google,5,2024-05-31 02:27:41,bagus
Pengguna Google,5,2024-05-30 17:43:11,sangat membantu
Pengguna Google,5,2024-05-30 16:28:47,baik
Pengguna Google,5,2024-05-30 14:46:32,Salah satu aplikasi pendukung untuk mencari info pekerjaan
Pengguna Google,5,2024-05-30 14:41:30,bagus bgt tapi kurang relatif apa lgi aku di pulau Belitung tolong dong lebih luas lgi biar mudah jangkau nya terima kasih
Pengguna Google,5,2024-05-30 12:28:44,semoga lewat app ini saya mendapatkan pekerjaan yang bisa dikerjakan dari rumah amiin
Pengguna Google,5,2024-05-30 09:24:05,Aplikasinya sangat membantu utk para pencari kerja. Mantap
Pengguna Google,5,2024-05-30 04:27:08,bagus
Pengguna Google,2,2024-05-29 16:31:34,bagus aplikasi nya
Pengguna Google,5,2024-05-29 14:44:32,Tolong kenapah info pekerjaan proyek seperti kami para seniman api yang di sebut WELDER atau juru las.. Tidak banyak keluar di menu pencarian padahal di aplikasi yang banyak
Pengguna Google,5,2024-05-29 14:06:47,bismillah dpt kerjaan.
Pengguna Google,1,2024-05-29 13:08:24,tidak mudah daftarkan nya
Pengguna Google,3,2024-05-29 11:12:24,sangat membantu
Pengguna Google,5,2024-05-29 11:07:49,mantap
Pengguna Google,5,2024-05-29 07:59:41,bagus
Pengguna Google,5,2024-05-29 07:56:10,👍
