userName,score,at,content
Paulino doa,3,2024-03-30 15:26:13,Mantap
Yani Delfada,1,2024-03-30 08:46:13,Ft8ttt I didn't remember whether there was a lot of problems available because it's more difficult to help either. Ma ma.
Adam Madanis,5,2024-03-30 05:33:38,"Lelah banyak main tapi gak pernah merasa lelah berulang kali di buat main.. Jangan main main, tapi mau main.. #Main main tapi pasif mainin mainan nya. namanya juga mainan maka jangan heran klo sering di mainkan...."
Mesha Gani V.,1,2024-03-30 04:59:40,Kok saya gabisa masuk ke akun Dan stuck di puzzle gmna ya?
Mudasirboy Dasirboy,5,2024-03-30 01:22:12,Bgus bisa membantu
dody yogi,4,2024-03-29 21:56:44,Goood
Sifa Fajariah31,5,2024-03-29 20:49:20,Baik
Yanuar Mahardiyanto,5,2024-03-29 19:45:23,good
iWan if,1,2024-03-29 18:19:45,Tidak rekomendasi
Rock Liar,5,2024-03-29 11:24:18,Bagus
Sulemang Lemang,3,2024-03-29 10:08:44,Che. Yg org Ggg 4oggcvv jgg3ggvp Gg p Ggvogg g 0t v5 5g g 5 V Vyang Vivo.vj Vm Ogvvo vv Goggvg ga ggo
Muhammad Fahmi Bahtiar,1,2024-03-29 04:12:34,ini kenapa si jadi gada gambar nya sama sekali
Citra Muhasti H,2,2024-03-29 03:54:22,"stress berat gabisa daftar, udah coba berbagai cara"
Dev Khanna,1,2024-03-28 22:30:22,Tidak bisa log in
Malah “Fatur” Turu,1,2024-03-28 17:45:01,Akun ku di hack .dan tidak bisa saya masuk ke akun saya lagi. Verifikasi rumit tidak bisa di selesaiakan sangat buruk
Aliffia Salsa W.,1,2024-03-28 15:44:10,"Mau login disuruh verifikasi pake gambar, udah berkali2 nyoba gambar terakhir pasti salah. Bikin yg betulah, menghadap ke atas yg kayak apa, yg kepalanya aja ke atas apa sebadan nya😑"
Holili Yugoo,5,2024-03-28 15:00:23,NAMAKU HOLILI YUGO ADI PUTRO. PERTEMUAN BAPAK KANDUNG MEMPUNYAI ANAK PERTAMA AKU HOLILI YUGO ADI PUTRO HARUS ADA DI GEDUNG BTN .
Sulfan_ Tulent167,2,2024-03-28 10:53:35,"Ku kira aplikasi ini penting tapi ternyata merepotkan dari awal,susah banget untuk login,mohon di perbaiki"
Sunardi,1,2024-03-28 07:32:52,"login aja ribet verifikasi dimna mna, udah jelas"" sesuai data"
Wiwis Aswandi,5,2024-03-27 20:46:43,Good
Ryo Karniawan,5,2024-03-27 17:25:36,good
Muhammad 'Izzul. A,1,2024-03-27 16:02:48,Login harus pake teka teki..udah dijawab bener selalu disalahin
Samsul Arifin,1,2024-03-27 12:44:05,mau peonsiun
Rafif Surendra,1,2024-03-27 09:55:45,Aplikasi babi gak sesuai dengan apa yang diharapkan
Reine Tewuh,1,2024-03-27 03:11:14,"C"":v v21v Uovv.mompm. e sd, vv edbv"
shintaropanterKOI,5,2024-03-26 19:43:18,Good thanks for this apps
Angky Al-djafar,4,2024-03-26 16:32:20,7rfr7 5 5 l 7 57 ur 58 7 57 5f57 7 r78 b 7l fr 65
Habsi,1,2024-03-26 13:19:40,as bad as it can get
indra ramli,5,2024-03-26 10:46:29,Mantul
toha Abrar,5,2024-03-26 06:41:36,Bagus sekali
Arie Dwi,5,2024-03-26 06:22:55,Good
Tony Rau,5,2024-03-26 04:44:38,Ol
Muhammad kadir,5,2024-03-26 01:14:51,Sangatmembantu
Yudi Sakti919,5,2024-03-26 00:37:33,Ok google
Ilpan Padillah13,5,2024-03-25 22:54:24,Best
Yacin,2,2024-03-25 17:51:16,Ok
Sungai Guntung,5,2024-03-25 15:44:41,Welder smaw GTAW mig
Rosna Wati,1,2024-03-25 15:16:54,"Aplikasi bodong biaya mahal saldo didana gw raib,Kalian jgn download aplikasi dana kalian raib,kaya penipuan"
Rhostea VD,5,2024-03-25 13:49:42,Trima kasih.... saya bergabung sudah lebih dari 5 tahun
Sudin82,5,2024-03-25 13:16:24,Operator buldoser
Astri Eliza,5,2024-03-25 09:38:10,Astri eilza
Nelly Kings,5,2024-03-25 06:24:08,Ok
Nhaniff 18,1,2024-03-24 21:02:45,Apk gak jelas mau login aja dicek scurity apa lah ribetin
Marlina susanti,1,2024-03-24 15:00:56,I cant login
Faix sungkar,5,2024-03-24 09:51:48,Aplikasi sangat baik untuk para pencari kerja dan para pebisnis.
Ricky Arief,1,2024-03-23 21:32:33,Mau login aja ribet cahpta tidak valid padahal udah bener
Abdur Rofi,1,2024-03-23 20:42:22,"Aplikasinya makin sampah untuk login aja verifikasi nya sulit bngt tidak valid mulu, tolong untuk diperbaiki"
2IA10_Muhammad Fiqri,5,2024-03-23 17:41:40,I like jobs.
Naufal Mardiyanto,1,2024-03-23 14:30:31,"Aplikasi sampah, padahal penting banget loh. Ini coba login akun lagi, tapi terkendala proses verif security check nya (yanh gambar kuda gak jelas). Dicoba selalu gagal, padahal udah sesuai arahan dan benar. Blokkk"
Wahid Purnomo,5,2024-03-23 03:45:58,Mantap
Agung Sudrajat,5,2024-03-23 01:55:55,I have manay new friends here.
ezar,1,2024-03-23 01:12:55,Aneh Gak bisa login Sama mau daftar gk Kirim kirim kode nya
Arfa Prama,4,2024-03-22 17:40:48,Ok
Helmy Abyan Razaq,1,2024-03-22 14:01:44,Jelek kenapa harus verifikasi id takut d salah gunain
Sopian Saury,1,2024-03-22 12:27:59,Verification gk jelas
game note,1,2024-03-22 07:24:37,"gak di buka2 dan gak yg aneh2...sekali di buka tau tau akun di batasi lalu minta KTP , udah kayak buka aplikasi pinjol."
Uy Hh,5,2024-03-22 06:34:32,Bagus
Wahyu Adinata Paundanan,5,2024-03-22 06:00:33,Luar biasa
Z Fahmi putra,5,2024-03-22 04:21:31,Bagus sekali
Didi Supriyanto,5,2024-03-22 04:12:01,Smoga cepat membantu dalam mencari pekerjaan saya
Ridfan Fajri,1,2024-03-22 03:05:24,"Kalo bisa kasih bintang setengah ni aplikasi gua rating bintang setengah, burukkk bangetttt, mulai dari login susah udah kaya tes CPNS, udah punya akun disuruh masukin kode buat masuk malah ngga bisa. Emang busuk aplikasi ini"
made sumanadi,5,2024-03-22 02:42:40,Good
Hany Pujianah,5,2024-03-21 22:45:49,Kren buat ku di mengerti impormasi bisnis bisa membantu / mendorong
Modalta Sby Sebayang,5,2024-03-21 17:23:15,Semoga membantu
Fauzi Fayyad,5,2024-03-21 16:15:09,Good aps
Foxy Manoy,5,2024-03-21 13:15:28,Good
Andi Marzuki,1,2024-03-21 09:42:15,"Sangat buruk aplikasi nya, ngeselin, kita ini jobseeker malah setelah di perbarui profil nya malah jadi asisten manajer, aneh"
Yeti Suryati,5,2024-03-21 07:57:13,Laporan pajak npwp/personal berjangka panjang
Muhamad Subehi,1,2024-03-20 19:41:38,Aplikasi rampok .saldo saya di potong tanpa pemberitahuan
Raisha Thahira,1,2024-03-20 18:00:41,"Linkedin ini rada gak jelas. Gue cuma ngirim undangan pertemanan, tiba-tiba akun gue dibatasi dan gue gak bisa login. Jadi bingung sama peraturan yang gak etis dari Linkedin."
Oyo Sarya,5,2024-03-20 15:19:06,Sangat membantu saya
Busro Firmansyah,5,2024-03-20 08:29:34,Siiip
Red Edge,1,2024-03-19 23:29:10,Sucks
Kasman Mahabu,5,2024-03-19 06:36:12,Ok
Multy Susanto,5,2024-03-19 00:47:57,Sangat Bermanfaat
Ik Tsubasa,1,2024-03-18 21:58:21,"Ga salah ni ratingnya, Developer Useless, scam. ga bisa login dan verifikasi sulit banget.."
Majalengka Jabar (Jabar),3,2024-03-18 19:17:36,Susah masuk ny
Sam Sam,5,2024-03-18 19:09:57,Bagus sekali
Tony Pribadi,5,2024-03-18 17:54:04,Luar biasa
Nasichun king,1,2024-03-18 17:04:22,Apkikasi sangat lucu. Sudah bener arah atas dah di pencet 50 kali ga ana benernya..auto bersihkan jelek
MULYADI SYACH,1,2024-03-18 16:27:17,Bagaimana cara membatalkan langganan
solih ardiansyah,5,2024-03-18 12:50:14,Top bgt
allen dwi,1,2024-03-18 10:34:40,yg bener bikin verifikasi login min. masak udah milih gambar yg bener masih blm bisa2 login. gimana sih. di perbaiki lah untuk login pengguna baru jgn di persulit
Fris Kroya,5,2024-03-17 23:56:28,Bagus
m.rizal khuseini,5,2024-03-17 13:35:21,Emang bagus..
Wulan 0911,1,2024-03-17 07:09:53,Aplikasi apan ini
Danang Uhuy,5,2024-03-17 03:32:02,Fosnxk
ricardo nadapdap,1,2024-03-17 01:54:19,"Untuk jobseeker, biaya bulanan nya terlalu mahal dalam bentuk IDR. Ditambah gak bisa liat, siapa aja yg cek profile jobseeker. Padahal cuma untuk cari kerja doang, tapi biaya yang diberikan kelewat mahal"
dayu puji,5,2024-03-17 00:36:02,Bagus
Donna Hellena,4,2024-03-16 20:01:18,Ok
Lucu Deh,5,2024-03-16 14:23:29,Ini cara mengukan untuk mecari kerja gimana yaa? Aku gapaham sama sekali Untuk ngelamar perkerjaan di aplikasi ini. Mohon bantuan nya Terima kasih
Silas Lombe,1,2024-03-16 02:55:43,Selamat ratingnya hampir semua ngasih bintang 1 smoga ada yg berikan bintang error
Candra Dinata,1,2024-03-16 01:28:51,"Aplikasi sampahh mau login malah di suruh jawab teka teki terus malah bilang ""jawab teka teki biar kami tau kalau anda benar manusia"" woyy ngotak dikit lah emang ada BINATANG YANG MAU DONLOD APLIKASI INI DASAR MANUSIA TOLOL!!"
Zailani “Zailani”,4,2024-03-16 01:07:20,👍
Muhamad Soleh,5,2024-03-15 19:23:24,Baik
Panji Muhammad,1,2024-03-15 18:46:58,"gabisa login, selalu looping di verifikasi"
Daffa Putra,4,2024-03-15 14:27:49,Bagus
Iqbal Lele,1,2024-03-15 14:27:12,"Ribet banget najis, verifikasi nya"
Haja Haha,5,2024-03-15 13:53:49,Cocok bgt
Fonsianoel Fernandes,5,2024-03-15 08:29:55,Good
agam dwihastri,1,2024-03-15 02:51:14,"Tolong developer mendengarkan keluhan dari usernya jangan merasa sudah diatas terus semaunya sendiri ini saya mau login udah upload ktp, verifikasi wajah tetep aja kena pembatasan sementara"
Suwarman,5,2024-03-15 01:49:42,Api yang berpenghaturan.
Bagus Irwansyah,1,2024-03-14 12:58:57,Tau2 narik uang di dana saya 650rb.. Aplikasi apa ini...
BALYAN WASFI,5,2024-03-14 12:53:21,Keren
Podcast Bocil,5,2024-03-14 10:57:57,"Can't sign in, very bad app in playstore"
Roudhotussyariifah -,1,2024-03-14 06:17:06,Verifikasi sulit
Rizky Athayaa,1,2024-03-14 01:51:02,INI APAAN GUA DAH VERIFIKASI BOLAK BALIK MASIH AJA GA BISA LOGIN!! VERIFIKASI EMAIL SEMUA MASIH AJA GA BISA. TOLONG DIPERBAIKI!!
Yustika Sihombing,1,2024-03-14 00:44:18,"Mohon kembalikan uang saya yang sudah di garik dari pihak anda melalui google play ke shopepay saya, saya tidak melakukan konfirmasi apapun terkait pembelian berlangganan di aplikasi ini. Tetapi apk ini telah mengambil dana dari shopepay saya tanpa konfirmasi dari pemilik akun. Saya juga sudah mengajukan klaim berkali lali tapi tidak ada jawaban dari anda. Mohon bantuanya."
John Ndun,5,2024-03-13 15:21:05,Good
