userName,score,at,content
Didit Apriyanto09,1,2024-04-23 20:37:41,Aplikasi sampah
Faiz Hanafi,1,2024-04-23 14:31:29,aplikasi gak tau diri bodoh
Ahmad Farel Ardhana,1,2024-04-23 07:55:56,"Saya sangat kecewa karena tidak bisa mengulang kata sandi saya, karena ada opsi ""tidak, ini bukan saya ""iya, ini saya"" Nah saya pencet opsi ""iya, ini saya"" Setelah saya pencet malah ada kedua opsi tersebut lagi, tolonglah LinkedIn perbaiki bug ini."
Komarudin,5,2024-04-23 01:34:11,Bagus
Muchtaddin M,1,2024-04-22 23:59:44,"Saya mengalami bug tidak bisa login setelah mengisi recaptcha, tertulis invalid atau gagal. Padahal jawaban sudah benar semua dan itu terjadi secara berulang"
Julika Jambi,1,2024-04-22 20:16:51,Iya
Ahmad Aspari,5,2024-04-22 18:18:21,Easy and simple to operate
Asrul Syam,5,2024-04-22 14:27:00,Give me your best service 🙂 Thank You
Muhammad Ghazi Husnan,5,2024-04-22 11:28:22,Sangat baik dan saya kirim tugas juga gak lama - lama.
Kamal Lilah,1,2024-04-22 11:10:56,proses log in kelamaan dan dipersulit
Rafael Ferdinand,1,2024-04-22 10:57:55,"login aja dipersulit, masa udah input email dan sandi yang bener di hp gabisa login.. aneh aplikasinya"
ilham hamid,4,2024-04-22 09:46:54,Mencoba
Rudi Cover,1,2024-04-22 09:25:00,Haha tutorial mempersulit registrasi 😂😂😂
Heru Purw,5,2024-04-22 05:05:50,bermanfaat
Arsad Arsad01,4,2024-04-22 03:34:11,Oke
Nyctophile 37,1,2024-04-22 01:35:48,Verifikasi email doang tapi ribetnya minta ampun Gak bisa login dan loading aja Akhirnya malah kena kick
Iskandar Kandar,5,2024-04-21 16:19:16,Opsional
dappamusyappa,5,2024-04-21 15:19:39,medsos berbasis mencari pekerjaan dan informasi sangat sangat rekomendasi untuk para fresh graduate 👍👍
nella merista,4,2024-04-21 14:21:31,Sangat membantu
Kangdenkusumah “Kang Sidik” Denkusumah,5,2024-04-21 13:29:04,Sangat berguna
Adrian Nur Ramadhan,1,2024-04-21 11:02:06,"Aplikasi rusak, disuruh vefikasi gambar, tapi gagal mulu. Tolong dong diperbaiki aplikasinya"
Aldi Nurjaman,5,2024-04-21 10:33:43,Mencari pekerjaan menjadi lebih terarah thats awesome
Ruliyansyah _,5,2024-04-21 10:22:47,Bagus
Agyz Wi,5,2024-04-21 03:27:15,Baagus dan bermqnfaat
irvan fahmi,1,2024-04-20 23:55:36,Costumer service ugrade dana
Tri agung Wibowo,5,2024-04-20 23:38:14,Informasi loker bagus
Fyafha eenk,5,2024-04-20 17:48:38,Sangat baik
Sayet putrajwl,5,2024-04-20 13:43:51,bagus sih aplikasinya
Gidion Sinaga,5,2024-04-20 12:44:42,"Up to date, semoga ada updaten terbaru atau dikembangkan untuk pengoptimalan LinkeIn yang lebih maksimal dan membantu para penggunannya"
Buggy Bug,5,2024-04-20 11:47:11,Terbaik
Ahmad Syaifudin,5,2024-04-20 10:19:57,Strategis di gunakan berfungsi maximal Terimakasih
Goprogamer,1,2024-04-20 09:44:19,Wey ini PLIS ga bisa login pakai Gmaillll
Irma Irma,1,2024-04-20 00:04:29,"Ribet bgt buat akun,baru aj masukkan nomor telfon udh ad keterangan nya sesi kadaluarsa, blm lg verifikasi nya yg lumayan ribet"
Adi Dharma nst,4,2024-04-19 23:01:10,78.000 8
Iwan Satriawan,5,2024-04-19 18:36:43,Good App
