userName,score,at,content
Khazul Lubis,1,2024-06-18 13:27:58,"Apk nya jelek, sudah pernah daftar tapi dibilang tidak pernah terdaftar, giliran bikin akun baru pake nomor yang sama dibilang sudah terdaftar, trus akhirnya bikin pake nomor satu lagi, giliran udah bisa masuk tertera ada tulisan 'anda bukan user', gak bisa nanya apapun sama penyewa, trus di log out, pas login malah dibilang salah pasword dan nomor tidak terdaftar, gitu aja terus sampe nenek gw lahiran"
Bagas Jabbar Isnain,4,2024-06-16 12:04:40,"halo min, terima kasih telah menambahkan fitur mamikos. saya ingin bertanya apakah pihak pemberi sewa tidak bisa dilaporkan jika tidak menjawab chat. sedih sekali"
Muhamad Nur,5,2024-06-16 06:36:10,"Tadinya sempat ada hambatan dalam mengajukan sewa, setelah dipandu Cs nya, saya bisa mengajukan sewa, Cs nya cepat tanggap. Terimakasih mamikos"
tyas aprillia praweswary,5,2024-06-15 15:21:42,mantab
pier magarnegara,1,2024-06-15 06:02:08,Di info harga
Ma Jodohku,1,2024-06-15 04:55:42,"cara daftar nya terlalu dipersulit.gak bisa sat set 5 menit kelar . diperbaharui lah app mami kos jangan mempersulit, aplikasi sebelah sangat mudah bahkan gak pakai daftar ."
Jan Jani,2,2024-06-11 07:58:55,Dicoba dulu
Zaks MDk,5,2024-06-10 03:40:26,aplikasi nya bagus buat perantauan
After Lifes,1,2024-06-10 01:38:10,"nggk rekomended apknya buat iklan, terlalu gila biayanya"
Firman Pujo Official,1,2024-06-09 20:44:08,Saya beri bintang 1 dulu kenapa ya saya sudah ajukan chat tidak ada respon dan kenapa di postingan tertulis kamar kosong tapi pas disurvei kamarnya penuh
PUTRA PERTAMA,3,2024-06-07 07:08:40,"Kenapa Nomor Akun Dan Password Salah,,, Padahal Akun Pemilik kost Saya Sudah Benar,,"
El Fadhl,1,2024-06-07 04:25:56,Harga kost naik terus dan bayar tambahan sampe 100k. Mahal bgt woy
icianx thegame,1,2024-06-07 00:28:48,Owner nya kaga balas balas chat sama aja bohong
Riska Doni,4,2024-06-06 03:25:02,pencarian kos nya lumayan banyak serta juga banyak pilihan...jadi mudah mencari sesuai baget dan serta yg di butuhkan 👍👍
Toni Laia,3,2024-06-05 12:03:28,"Lagi cari cari kos tapi pas cek beberapa kos malah timbul kalimat ""wah, enggak ada kosan di sini""..."
Ketut prayanti,2,2024-06-04 23:01:25,"Kost "" an bnyak yg kosong dengan harga d bawah 1 juta ..tp tidak bisa d buka ... kesal sekali saya ..hanya yg bagian kost isian saja yg bisa d buka"
Arya Mizar,1,2024-06-04 21:05:25,"ketika di pencarian banyak kos kosong namun waktu dipencet halamannya ga muncul malah muncul kalimat ""tidak ada kosan disini"" maksudnya apa ya kalau ga ada kenapa muncul di pencarian"
I komang Yoga,1,2024-06-04 09:20:24,aplikasi eror saya cari kos ada tulisan dari sistem kos sudah tidak ada tolong diperbaiki lagi
Muhammad Awang Dwi Ainur Rofiq,1,2024-06-04 07:47:38,"Mau ganti apartemen ke kos gak bisa, malah masuk ke lokasi, payah"
Satria Andriana,1,2024-06-03 02:40:47,"sebagai pemilik kost merasa sangat dirugikan!! saya sudah bayar untuk 2 bulan,dan kamar memang sy jual untuk bulan depan,mungkin ada customer yg kesel dan melaporkan krn tidak dapat kamar,iklan sy malah di blokir,heii!! sy tidak menipu dan berkali2 sudah sy jelaskan ke customer bahwa kamar ready bulan depan, malahan ada customer memaki2 sy tanpa alasan jelas dan sy laporkan tp.respon admin menyatakan tidak bisa blokir krn bukan menipu!! kalian gilaa yaa??!"
Kirana,1,2024-06-01 02:47:15,"Harganya naik terus udah mana ga ada pemberitahuan kalau dinaikin tarif biaya layanan nya tapi layanan yang dikasih meh banget. Tiba-tiba ada biaya asuransi yg mandatory tanpa pemberitahuan dan langsung dipotong, pas mau diklaim juga susah. Better cr kos gak pake ini aplikasi :)"
Ursula Tamara Jegaut,3,2024-06-01 01:18:09,Biaya layanannya mahal sekali
Ayuhanas Satyavani,1,2024-05-30 10:14:12,kualitasnya kurang dan tidak diperbaharui referensi kost terbaru.
Alfi Cahya,1,2024-05-30 05:32:42,kuota chatnya dikit bgt
Langit Biru,3,2024-05-28 08:01:49,slow respon dari pemilik kos..bahkan tak dibalas..jadi bintang 3 dulu ya
kiki,1,2024-05-25 00:53:23,"Bisa bisanya maps nya berubah jadi pake leaflet, pusing baca maps nya balikin pake google maps. Sama penyedia kost nya gak bales bales pertanyaan itu gimana pesan saya yang gak sampe apa yang punya kost gak mau bales!?"
Wahid Suharmawan,5,2024-05-22 10:37:18,Serasi
Carolus S,2,2024-05-21 08:17:43,Mohon dibenahi kalau ada kos dgn kamar yg sudah penuh dihilangkan di daftar pencarian agar membuka kesempatan bagi kos lain untuk muncul di data iklan
Citra Pitriya,1,2024-05-19 10:38:58,Mau ngontrakin rumah susah
Sunar W,5,2024-05-17 22:19:24,"saat chat di aplikasi diingat kan mohon berhati2 transaksi diluar aplikasi. kalau lg mau deal2an kan wa atau telp.. sedangkan setiap chat yg bayar kuota pemilik kos, yg harus berhati2 justru pemilik kos sering dichat (joki kali ya) tanya2 banyak doang tp ga ngekos, ada jg yg pura2 mau kos tp ...apa dr team marketing mamikos hehe intinya curiga boleh dong... mamikos harganya gila2an tp pelanggan kos gq nyangkut2 krn cuma jualan kuota chat??"
Kurniawan Putra,1,2024-05-17 03:13:29,Ksh bintang cukup 1 sj. Mamikos makin lama makin kelewatan .pencari kost di chat room sy .tapi di ksh mala link kost lain melalui sistem mami kost.kecurangan.kdg ada yg tny no telp pemilik at alamt kost yg ada di chat room tapi di jwb oleh sistem.kost org lain.
Muhammad Rizki,2,2024-05-16 07:17:16,"Notifikasi chat masuk itu lambat jd kadang pencari kost sudah chat lama, si pemilik baru tau ada chat masuk. Tidak worth it. Ditambah sekarang pemilik kost harus berlangganan harga terendah sekitar 70 s/d 80 RB agar bisa jawab chat pencari kost Kalau gak bayar cuma dapat jatah 1 chat per Minggu. Berbayar malah jadi jelek kualitasnya."
Saefudin prasetyo,1,2024-05-14 07:57:17,Tolong perbanyak batas chat room nya untuk yang gratis
hadi ramadhan,1,2024-05-13 14:00:14,Sudah berubah dari yang dulu sekarang apa-apa harus berbayar membalas chat pemilik harus berlanganan dan dan banyak iklan berbayar dengan harga yang lumayan mahal terimakasih
Rizki Ar,5,2024-05-10 17:40:16,"Aplikasi Bagus Buat Mahasiswa Yang Lagi Cari Kos Di Dekat Kampus , Saran Saya Makin Di Perluasankan Jangkauannya Di Kampus TOP Di Indonesia Maupun Negeri Dan Swasta Karena Ini Juga Sangat Membantu Para Mahasiswa Menemukan Kos Yang Nyaman Dan Aman. Juga Kalo Bisa Tolong Lebih Verifikasi Lagi Tentang Kos Yang Ada Di Mamikos Agar Sesuai Dengan Di Foto Dan Aslinya, Karena Banyak Oknum Jahat Mengunakan Mamikos Sebagai Kejahatan. Tolong Sangat Di Perhatikan 🙏🏻"
