userName,score,at,content
Feri Nanda Saputra,5,2024-08-06 11:51:18,luar biasa
Fajar Sw,3,2024-08-06 08:48:14,Fitur membaca koran nya udah dihapus kah? Kok tiap dibuka dialihin ke browser. Mau buka offline juga malah diarahin ke playstore
Guntur Se,5,2024-08-05 14:34:08,keren
Fingkan Nadia,5,2024-08-05 14:10:30,sangat menyenangkan dan mudah untuk di pahami
Alexandria Rhma,5,2024-08-05 13:50:27,membantu kita untuk mengerjakan tugas atau translit bahasa
Aku Tau,5,2024-08-05 06:04:08,good
Jalema Gelo,5,2024-08-05 05:49:59,madep
key 22,4,2024-08-05 04:25:41,👍👍👍👍
Teti Teti rosmala,4,2024-08-05 03:51:32,oke
Okta sri dayanti,4,2024-08-05 03:46:26,WAAH BAGUSSS BANGETT
Ahmad Khoerul Anam,5,2024-08-04 23:25:42,mantap membantu
Manjing Dong,5,2024-08-04 06:27:44,bagus sayang nya harus beli biar vip😊
Jackywillan Tara,5,2024-08-04 00:24:08,Bisa komunikasi dengan berbahasa jepang
lamah suria,5,2024-08-03 16:08:19,oky
Muhammad Adrian,5,2024-08-03 08:52:48,bagus
Sahasrara Aryapradana,5,2024-08-03 07:29:23,"aslinya bermanfaat banget, gw nya aja yang jarang pake apk ini"
zall xyw,5,2024-08-03 03:35:11,kerenn
fatur riski,5,2024-08-02 13:10:37,sangat membantu
Fadli Nurullah Sahal,1,2024-08-01 12:45:18,KURANG BANYAK IKLAN NYA
Asep Ramdoni,5,2024-08-01 06:28:42,simpel nyaman buat belajar bisa jepang
23_Yudha Dwi Saputra,4,2024-08-01 03:38:52,"Semua fitur sangat membantu dalam proses pembelajaran bahasa Jepang, tapi kenapa ketika saya ingin belajar abjad ""Hiragana"" dan ""Katakana"", saya tekan bagian itu tidak bisa muncul huruf-hurufnya? Padahal sebelumnya bisa, terkadang bug itu sering muncul akibatnya saya tidak bisa belajar abjad hiragana dan katakana"
Jahsyi nur Abdillah,5,2024-07-31 05:33:31,aplikasi nya keren fiturnya komplit
Oyeng,5,2024-07-31 02:12:57,bagus
Jul Kifli,5,2024-07-30 15:13:18,apk yg bagus buat belajar bahasa jepang
HAYPER GAMES,5,2024-07-30 01:25:24,おｐ
Heru Mauladi,5,2024-07-29 05:18:03,sangat membantu
Galih Nuriman,5,2024-07-29 03:04:28,belum paham semua mencoba memahami namun sangat membantu
Misroni roni,5,2024-07-28 16:10:18,semoga bisa
Hasan Santosa,5,2024-07-28 15:22:04,良いね
Restu Febrianto,1,2024-07-28 10:56:11,Untuk ukuran pemula aplikasi ini sangat membingungkan
Jovan Enggarprayoga,5,2024-07-28 09:05:35,sugoi
Rifly Andika,5,2024-07-28 02:48:41,"mantep, cman bnyak iklan"
Zhafira Wutiya Sari,5,2024-07-27 23:33:50,Bagus banget 😍
Chisie,5,2024-07-27 10:52:25,マジで助かったよ、このアプリ ☆
Frendy Is,5,2024-07-26 13:54:57,sangat membantu sekali
Nanda R Tris,5,2024-07-26 06:48:48,すごい です、私 感じ を お願いしました
Nurhayati Nainggolan,5,2024-07-25 15:30:39,totemo ii
Resty Natalia,5,2024-07-25 00:02:55,bagus
