userName,at,content
Bima,2024-10-30 01:22:05,Mbut
Yusuf Abbdullah,2024-10-30 01:02:11,I change my device and ITS was the best game ever
Mr. Rokugatsu,2024-10-30 00:42:05,"need material (core) for ascend weapon, resonators and upgrade skill on simulation challange, boss challange, and tacet field"
Akmal Nur Hakim,2024-10-29 16:06:24,"cons :game nya oke, story oke, hp dan grafik kena high end 90fps pross: gacha babik, dapet si bocah merah"
Arya,2024-10-29 15:19:22,"Saya suka sama grafik,story,dan mekanisme gamenya sangat bagus"
Iqbal Pebriansyah,2024-10-29 14:57:46,"Game sudah bagus dari segi grafik, visual, kontrol, suara, dan efek. Cuman sayang tidak ada bahasa Indonesia. Tolong untuk developer di updatetan selanjutnya tambahkan untuk bahasa Indonesia biar mempermudah pemain dalam segi bahasa🙏🙏"
Muhammad Izudin akbar,2024-10-29 14:48:54,"Sampah, suka bangat forse close. Dan bikin EVENT MALAH KILL BANYAK MOSTER TAPI BELUM OPTIMALISASI KAN TOTLOL"
Rio Perdian,2024-10-29 14:20:55,"Getting better and better, now i just hope add Indonesian subtitle"
adri Yudhoyono,2024-10-29 13:14:38,Game ini semenjak update banyak sekali perubahan dan kemajuan terutama saat main quest karakternya tidak kaku
Ahmad Kurniawan,2024-10-29 12:53:24,👎
Konten Bebas,2024-10-29 12:01:17,"Hanya kurang bahasa Indonesia, dan ketika saya mencoba bermain di Xiaomi pad 6, ngelag parah, padahal udah Snapdragon 8 lebih"
Hanif abbad Hanania,2024-10-29 11:01:20,nice story
Yiss07,2024-10-29 10:40:56,all in
yskee,2024-10-29 07:26:08,overall is the best
Heni Winarko,2024-10-29 06:41:13,"Setting Low/High fps sering drop, padahal Genshin Impact 60 fps stabil"
Bara Luciano,2024-10-29 06:31:31,"Kuro baik, game wangy, istri gw tuh female rover, changli, baizhi, taoqi, jianxin, yinlin, jinhsi, camellya, shorekeeper, lumi."
Anggi Mashh,2024-10-29 06:14:00,sangat menikmati sajian grafik tolong plis tambahin bahasa Indonesia
Anes Leriano,2024-10-29 06:12:31,terbaik
Andys Satria,2024-10-29 05:31:26,"Secara keseluruhan teknis permainannya bagus kritik saya 2 point, 1 Tema dunianya Sci-fi tapi tema ceritanya Mythology contoh ""ramalan"" & ""Messiah"" itu supertitious contoh Sci-fi ternama seperti Ghost in the Shell, Blade runner, cyberpunk 2077, Matrix, dan Tron itu baru Sci-fi paten."
Fake Iky,2024-10-29 05:21:35,opzional
