userName,at,content
Wanto khetinggalanzaman,2024-10-27 16:18:09,Banyak drack sistem
Sall X2447,2024-10-27 16:17:32,Ayolah moonton kasih tim yg bagus aku udah mau mitik malah losetrek Ayolah moonton kami ini pengen mitik
Fauzan Ghani,2024-10-27 16:17:27,"Lbih baik pindah ajja ke game yg lain all,, moontoon bilang ini game adil tpi nyata ndak,, uinstall ajj game mobile legend ini,, Kalau di biarkan smua player akan sakit hati dngn game ini,, ini game babi,, habis habisin kuota, lagi bikin sakit hati, Sorry ya moontoon gw kgk mau ksih lu bintang keena game anda tidk mnjamin untuk mmberikan player itu senang,, mlh sbaliknya,,"
Pro Player,2024-10-27 16:15:56,Sampah banget jaringannya
Herni Herni,2024-10-27 16:15:48,Sungguh menyenangkan
keceng keceng,2024-10-27 16:15:44,top
Bsbsjdbs Shshdjiei,2024-10-27 16:15:40,Monton kasi lah aku menag plisss
Agung pramana Sastria pratama,2024-10-27 16:15:07,Gem nya lolll paok poke fake yu montoon draksistem
Panggih Ndaru,2024-10-27 16:14:26,"Tangerang main ML sinya Poke, merah² Mulu najis"
Azmi,2024-10-27 16:14:02,Saya menyukainya
Ridho Kudus,2024-10-27 16:13:04,Game asu game tolol game nggak ada gunanya
Dika Ardyansyah,2024-10-27 16:13:02,Main solo tim epic semua malah tim musuh immortal semua gajelas. sory min gua kasih bintang 1 karena udah kejadian puluhan kali
fid da,2024-10-27 16:12:55,JAAANCOK!!
Zeguan 1234,2024-10-27 16:11:00,Kenapa di. Gem ini temen random sama musuh gak sesuai. musuh jago tim di kasih darks sistem tolong monton perbaiki masa di maythik aja masih ada darks sistem nya
Rasya Ardian,2024-10-27 16:10:25,"jahat sih lu moonton, masa dikasih ls 10 kali ,ya allah semoga dibales di akhirat lu moonton"
Sunarti Nababan,2024-10-27 16:09:44,Pls monton bagiin skin luckbox
Zvánn,2024-10-27 16:08:01,"Tolong moonton ping jaringan di benerin dulu, sinyal saya hijau tapi kenapa pas dipencet jadi ping 223ms mohon diperbaiki sistem jaringanya, terimakasih"
pinceboy d,2024-10-27 16:07:46,Gem tolol
slamersz 2612,2024-10-27 16:07:44,Match maching rusak... TOLONG DIPERBAIKI!!! CAPEK!!!
Riyan To98,2024-10-27 16:06:26,Tolong lah di perbaiki ini sinyal bagus tapi tetep aja masih leq2 trus
Novel Bin jindan,2024-10-27 16:06:11,Moontod setan tim ga pernah bener ga pernah imbang setan Ayolah berakal tolol ngasih tim dark sytem terus setan mau ga pindah gmn player² lu ke game sebelah lol
masrul,2024-10-27 16:05:06,"Kasih tim yang bener lah, mau naik rank aja dibikin kalah GK bisa bikin player seneng apa gimana sih"
Sayo Mase,2024-10-27 16:03:25,update bukan nya bagus smakin berat.. lag crash
agung muhamadriski,2024-10-27 16:03:16,game rusak anj
Randy Dwisaputra,2024-10-27 16:03:16,Game ini bagus tapi kok gua meen randem musuh sama teman team ku gk masuk akal musuh mainnya bagus la team ku bebaban semua 😐
Sonia Devita,2024-10-27 16:02:14,"Setelah sekian lama aku berani lgi buat mencoba game ini, semoga gk membuka luka yang lama 😅"
Ridwan Aditya,2024-10-27 15:59:59,banyak team drag sistem & player cheat
Abangsatria Muhammadsatria0909,2024-10-27 15:59:57,"Saya sering ketemu tim bot, makanya saya kasih bintang satu"
suparman adam,2024-10-27 15:59:05,Bagus lah aku suka dengan game ini
Kiiro Ryuki,2024-10-27 15:58:28,"Tim esport di mlbb tidak respect lawan, sungguh disayangkan"
Rizqi mandala Syahputra,2024-10-27 15:57:54,Game rusak percuma ngasih even banyak kurang banyak tapi asal maen rank nemu nya dari sistem
Danu Nur ikhsan,2024-10-27 15:55:54,Apakah di game ini saya bisa dapat Papeda gulung?
M. Sobirin Abduh Rafli,2024-10-27 15:55:44,"Apalah akun ku ketemu dark sistem terus, dapat tim bodoh terus, hapus aja kalo gitu terus tim nya,"
Sains Man,2024-10-27 15:55:30,"Game sampah,langsung hapus game,menyesal download,ga jelas"
Nanda Saputra,2024-10-27 15:54:25,Hadeuh montoon masa dari dlu komplain masalah jaringan sama pembagian tim kagak di gubrise sama sekali asli kecewa gw sama ni jaringan sampah apalagi draft pick pembagian tim fulll monyet pokok nya lah kalo gak bisa muasin konsumen APUS aja game lu kikir
Rehan Widiarto,2024-10-27 15:54:20,Asli ni game bagus banget setelah lostrek 20 kal saya seperti bahagia
Ilham Malik mustopa,2024-10-27 15:53:58,Goblog game kek babi anj kasih team yng bnr goblog tolol
joel pasaribu,2024-10-27 15:53:51,"Game sampah,pantas banyak player yg pindah ke game sebelah,makin gak jelas kalau main solo,tolong lah diperbaiki ya"
Tt Jeti kal,2024-10-27 15:53:14,Guwa kasi drak sistem terus males gua
Wahyu Wahyu,2024-10-27 15:52:43,Jd game terburuk aja udah lu
Arif Vold,2024-10-27 15:52:18,Lag parah...
Zzz Zzz,2024-10-27 15:51:44,Game sampah tolong hapus drk sistem nya muntunnnnn!!!!
Mahpudin Pudin,2024-10-27 15:50:39,🔥🔥🔥🔥🔥🔥
Shin Aj,2024-10-27 15:50:38,Bagus
Febri Wahyu,2024-10-27 15:50:18,Promo skin trus terusan giliran maen dapet yg ngetrol
Meme “Memers” Tiktok,2024-10-27 15:49:55,GAME IDIOT BIKIN MENTAL KALIAN HANCUR AWAS JANGAN MAIN GAME INI BAHAYA USAHAKAN MAIN GAME LAIN AJA
Arif RahmN,2024-10-27 15:48:17,pembagian tim yang tidak pernah seimbang
Ahir puji,2024-10-27 15:48:10,"game yang tidak puas terhadap tim yang tidak di sempurnakan selalu saja dapat tim yang bodoh dan tolol sekali,saya minta tolong supaya setara kan penjoki, pemula,dan pro"
Aldo Baihaqi,2024-10-27 15:47:48,Game rusak
Hafii Putra,2024-10-27 15:47:44,Bagus
Knight Rider,2024-10-27 15:47:15,"ngasih matchmaking yang bener knt0,gem idiot yatim piatu"
